RMS_Skewness,RMS_Skewness.1,RMS_Skewness.2,RMS_Skewness.3,RMS_Skewness.4,RMS_Skewness.5,RMS_Skewness.6,RMS_Skewness.7,RMS_Skewness.8,RMS_Skewness.9,RMS_Skewness.10,RMS_Skewness.11,RMS_Skewness.12,RMS_Skewness.13,RMS_Skewness.14,RMS_Skewness.15,RMS_Skewness.16,RMS_Skewness.17,RMS_Skewness.18,RMS_Skewness.19,RMS_Skewness.20,RMS_Skewness.21,RMS_Skewness.22,RMS_Skewness
4.190133098853734,0.1798761824124978,0.8025897746630384,0.6817342265459357,6.470115936945587,3.180161865074115,2.9539271241343,4.7912974431962185,5.346666642265529,17.76137065615238,3.1483588968965086,8.26328890080785,4.190133098853734,0.1798761824124978,0.8025897746630384,0.6817342265459357,6.470115936945587,3.180161865074115,2.9539271241343,4.7912974431962185,5.346666642265529,17.76137065615238,3.1483588968965086,8.26328890080785
4.321414841244013,0.319484387998817,0.811057891264566,0.7284640780295918,6.511808241747068,3.180038882998704,2.8526097518837403,4.813196299652245,5.476958986689014,17.761323477124435,3.175311090861462,8.182406876685073,4.321414841244013,0.319484387998817,0.811057891264566,0.7284640780295918,6.511808241747068,3.180038882998704,2.8526097518837403,4.813196299652245,5.476958986689014,17.761323477124435,3.175311090861462,8.182406876685073
4.446691707466874,0.3830589784443142,0.8364590425933096,0.7980065196651951,6.58970133911216,3.2109028848023065,2.738097734180441,4.764623739934185,5.597213799849079,17.63788863289414,3.212660509008809,8.175776363424118,4.446691707466874,0.3830589784443142,0.8364590425933096,0.7980065196651951,6.58970133911216,3.2109028848023065,2.738097734180441,4.764623739934185,5.597213799849079,17.63788863289414,3.212660509008809,8.175776363424118
4.546315941301905,0.6190955996218037,0.8589059329659539,0.8663783193851573,6.741895077991398,3.265193218843723,2.643979244326112,4.656763486603095,5.720836118372288,17.38147655965534,3.2441957821210234,8.266638478779319,4.546315941301905,0.6190955996218037,0.8589059329659539,0.8663783193851573,6.741895077991398,3.265193218843723,2.643979244326112,4.656763486603095,5.720836118372288,17.38147655965534,3.2441957821210234,8.266638478779319
4.584305622870194,0.8599001996492113,0.879828705721101,0.9537789387189792,6.915087482940662,3.3232647482413413,2.5766121237723647,4.508693493237909,5.785189275367822,16.804650648614388,3.225060569754682,8.39780781523967,4.584305622870194,0.8599001996492113,0.879828705721101,0.9537789387189792,6.915087482940662,3.3232647482413413,2.5766121237723647,4.508693493237909,5.785189275367822,16.804650648614388,3.225060569754682,8.39780781523967
4.61608977561608,0.917884891489261,0.9388258360738674,1.0853816386057034,7.174859344502537,3.417421738912047,2.5586033811476736,4.367474991800864,5.853141658176062,15.968969646846194,3.176004290406277,8.613776377577127,4.61608977561608,0.917884891489261,0.9388258360738674,1.0853816386057034,7.174859344502537,3.417421738912047,2.5586033811476736,4.367474991800864,5.853141658176062,15.968969646846194,3.176004290406277,8.613776377577127
4.696592304924638,0.7944991197524979,1.0154797169945946,1.2446877717940288,7.586831829122532,3.570334248290593,2.5550433241984294,4.237441273908221,5.93692933151437,15.05612346185781,3.126817110027845,8.872706480637465,4.696592304924638,0.7944991197524979,1.0154797169945946,1.2446877717940288,7.586831829122532,3.570334248290593,2.5550433241984294,4.237441273908221,5.93692933151437,15.05612346185781,3.126817110027845,8.872706480637465
4.804094823416554,0.6368989699190208,1.1082759419022132,1.4609941820155103,7.961928373964753,3.732673440964104,2.5547866789574,4.117542562059012,5.9968555435067925,13.863470700743957,3.074265595824869,9.03379234626852,4.804094823416554,0.6368989699190208,1.1082759419022132,1.4609941820155103,7.961928373964753,3.732673440964104,2.5547866789574,4.117542562059012,5.9968555435067925,13.863470700743957,3.074265595824869,9.03379234626852
4.984633139382557,0.24289660405961,1.2460963479929428,1.6694265002044495,8.377683089898103,3.957976103421416,2.5933954879517978,4.0219150823099135,6.044517439524782,12.60474110232462,3.0727954461730453,9.199242904377344,4.984633139382557,0.24289660405961,1.2460963479929428,1.6694265002044495,8.377683089898103,3.957976103421416,2.5933954879517978,4.0219150823099135,6.044517439524782,12.60474110232462,3.0727954461730453,9.199242904377344
5.145901856486288,-0.0975589728710109,1.23852409550798,1.7653936982540452,8.59457668940142,4.173371650973658,2.6629051995412434,3.874942148978097,6.023854195889565,11.431553682756531,3.165433384849392,9.208870431592947,5.145901856486288,-0.0975589728710109,1.23852409550798,1.7653936982540452,8.59457668940142,4.173371650973658,2.6629051995412434,3.874942148978097,6.023854195889565,11.431553682756531,3.165433384849392,9.208870431592947
5.234418984539478,-0.3134540164019256,1.1444870553179185,1.8526876922263475,8.853860310809692,4.410396798786234,2.855543495763921,3.7659024177292375,5.957218261982823,10.102893478035323,3.361759636633923,9.36525089602719,5.234418984539478,-0.3134540164019256,1.1444870553179185,1.8526876922263475,8.853860310809692,4.410396798786234,2.855543495763921,3.7659024177292375,5.957218261982823,10.102893478035323,3.361759636633923,9.36525089602719
